Review #,Brand,Country,Contain_Flavor,Meat_Types,Is_Spicy,Noodle_Types,Style_Bowl,Style_Cup,Style_Pack,Style_Tray,Stars
2580,0.003499222395023328,0.13608087091757387,0,0.6329704510108864,0,0.41135303265940903,0.0,1.0,0.0,0.0,3.75
2579,0.21578538102643857,0.08709175738724728,0,0.6329704510108864,1,0.4432348367029549,0.0,0.0,1.0,0.0,1.0
2578,0.14813374805598756,0.12480559875583204,0,0.12674961119751166,0,0.4432348367029549,0.0,1.0,0.0,0.0,2.25
2577,0.00583203732503888,0.08709175738724728,1,0.6329704510108864,0,0.09409020217729394,0.0,0.0,1.0,0.0,2.75
2576,0.21578538102643857,0.012052877138413685,0,0.6329704510108864,0,0.41135303265940903,0.0,0.0,1.0,0.0,3.75
2575,0.02021772939346812,0.12013996889580093,0,0.6329704510108864,0,0.09409020217729394,0.0,0.0,1.0,0.0,4.75
2574,0.00583203732503888,0.13608087091757387,0,0.6329704510108864,0,0.41135303265940903,0.0,1.0,0.0,0.0,4.0
2573,0.21578538102643857,0.13608087091757387,0,0.6329704510108864,0,0.0276049766718507,0.0,0.0,0.0,1.0,3.75
2572,0.21578538102643857,0.13608087091757387,0,0.6329704510108864,0,0.09409020217729394,0.0,0.0,1.0,0.0,0.25
2571,0.009720062208398134,0.042379471228615864,0,0.6329704510108864,1,0.4432348367029549,0.0,0.0,1.0,0.0,2.5
2570,0.21578538102643857,0.07426127527216174,1,0.6329704510108864,0,0.41135303265940903,0.0,0.0,1.0,0.0,5.0
2569,0.0042768273716951785,0.12480559875583204,0,0.6329704510108864,0,0.41135303265940903,0.0,0.0,1.0,0.0,5.0
2568,0.038102643856920686,0.12013996889580093,1,0.6329704510108864,0,0.41135303265940903,0.0,0.0,1.0,0.0,4.25
2567,0.14813374805598756,0.13608087091757387,1,0.03926905132192846,0,0.41135303265940903,1.0,0.0,0.0,0.0,4.5
2566,0.14813374805598756,0.053265940902021774,1,0.6329704510108864,0,0.4432348367029549,0.0,0.0,1.0,0.0,5.0
2565,0.009720062208398134,0.042379471228615864,1,0.6329704510108864,0,0.4432348367029549,0.0,1.0,0.0,0.0,3.5
2564,0.21578538102643857,0.012052877138413685,0,0.6329704510108864,0,0.4432348367029549,0.0,0.0,1.0,0.0,3.75
2563,0.0042768273716951785,0.12480559875583204,0,0.6329704510108864,0,0.09409020217729394,0.0,0.0,1.0,0.0,5.0
2562,0.21578538102643857,0.041990668740279936,0,0.6329704510108864,0,0.41135303265940903,0.0,0.0,1.0,0.0,4.0
